title;artist;genre;power;key;bpm
Exyle - Obscure;Exyle;Dub, Instru, ElectroDub;3;;145.000565
Jah live (feldub rmx) ;Feldub, Danman, Author;Dub, Vocal, Digital, ElectroDub;3;;139.999573
Baddest (Feldub rework);Feldub, Gappy Ranks;Dub, Vocal, Digital, ElectroDub;3;;98.000168
Legal (Feldub rmx);Feldub, Mr Zebre, Rebel I;Dub, Vocal, ElectroDub, Steppa;4;;77.500618
Hopening;Herba Vibration;Dub, Instru, Chill, Intro;2;;67.502342
Kalumet;Herba Vibration;Dub, Vocal, Digital;3;;137.000412
Eros;Herba Vibration;Dub, Vocal, ElectroDub;2;;194.001282
Absolute;Herba Vibration;Dub, Instru, ElectroDub;3;;137.999893
El Spiritu ft. Soam;Herba Vibration;Dub, Vocal, Digital;2;;132.999695
Insanity;HiGrade;Dub, Vocal, Digital, Chill;2;;69.000023
Dissonance Dub;HiGrade;Dub, Instru, Chill;2;;69.000145
Cide Groove;Leruja;Dub, Instru, ElectroDub, Steppa;3;;130.000107
Curv XXI;Leruja;Dub, Instru, ElectroDub, Steppa, Heavy;3;;119.999886
Mungo's Hi Fi - Good Lovin' ft Lady Ann;Mungo's Hi Fi, Lady Ann;Dub, Reggae, Vocal;2;;70.000854
Limits;Mystical Hifi, Wudub!, Shamann;Dub, Vocal, Digital, ElectroDub;3;;139.999756
Limits (Dub Version);Mystical Hifi, Wudub!, Shamann;Dub, Vocal, Digital, ElectroDub, Steppa;3;;70.000061
Africa;Nazamba;Reggae, Vocal, Slam, Slow;2;;64.999527
 The Hills feat Linval Thompson;Nazamba, Linval Thompson;Dub, Vocal, Slam, Slow;2;;67.499893
The Groove;Nazamba;Dub, Vocal, Digital, ElectroDub;2;;71.999771
Play Sweet;Nazamba;Dub, Vocal, Slow;2;;81.500977
Run!;Nazamba;Dub, Vocal, ElectroDub, Slam, Slow;2;;71.499893
Medication Tree;Nazamba;Dub, Vocal, ElectroDub, Slam, Slow;2;;71.118729
Politricks feat Soom T;Nazamba, Soom T;Dub, Vocal, ElectroDub, Slam;2;;64.999687
Badmind;Nazamba;Dub, Vocal, Slam, Slow;2;;65.502174
People;Nazamba;Dub, Vocal, ElectroDub, Slam, Slow;2;;103.999969
We Nuh Tek Talk (UKG Remix);Numa Crew, Killa's Army, UKG;Dub, Vocal, DnB, Digital;3;;134.998871
Radical Dub;Radikal Guru;Dub, Instru, Digital;3;;69.999939
Jah Love;Sandra Cross, Vibronics;Dub, Vocal, Digital, ElectroDunb;3;;131.000656
Jah Love Version;Sandra Cross, Vibronics;Dub, Instru, Digital, ElectroDub;3;;130.999664
Evil Step Of Dub (Original Mix);Dub Machinist, Massive Dub Corporation, Roots Zombie, Feldub;Dub, Instru, ElectroDub, Steppa;3;;140.000351
Evil Step Of Dub (Dub Machinist Remix);Dub Machinist, Massive Dub Corporation, Roots Zombie, Feldub;Dub, Instru, ElectroDub, Dubstep, Heavy;3;;70.004219
Evil Step Of Dub (Massive Dub Corporation Remix);Dub Machinist, Massive Dub Corporation;Dub, Instru, Digital;3;;71.499763
Evil Step Of Dub (Feldub Remix);Dub Machinist, Massive Dub Corporation, Roots Zombie, Feldub;Dub, Instru, ElectroDub, Steppa;4;;140.001205
Vaticaen Box;Nawak British;Dub, Instru, Digital, Chill;2;12m;70.000198
Letter dub extracted from the album : Empire Soliders;Brain Damage, Vibronics;Dub, Instru, Digital, Chill;2;10m;135.004074
High with LMK;Ondubground, LMK;Dub, Vocal, ElectroDub;3;3m;86.500053
The Steppin' Wobble;Nalchro;Dub, Instru, Digital, ElectroDub, Steppa;3;1m;139.999573
Vaticaen's Way;Jean-Paul Dub, Meissa;Dub, Vocal, Digital, ElectroDub, Steppa;3;3m;72.500671
Chapter 8, Verse Dub;Mahom;Dub, Instru, ElectroDub, Steppa;4;11m;139.999359
Feldub - SRRVA003 - Cake Tape vol.3 - 02 Distopia;Feldub;Dub, Vocal, Sample, ElectroDub, Steppa;3;;146.000092
Jah Light Jah Love;Vibronics;Dub, Vocal, ElectroDub, Steppa;3;;119.886459
Jah Light Jah Love Version;Vibronics;Dub, Instru, ElectroDub, Steppa;3;;119.886086
Mercy Gone;Witness;Dub, Vocal, Digital, Chill;2;;112.001801
Mercy Gone Part II;Witness, Mr Williamz;Dub, Vocal, Digital;3;;112.00412
Where Were You-Sister Olidia__Dub-E. Ramsey (King Earthquake);Militjah Wise, King Earthquake;Dub, Vocal, OS, Steppa, DIRTY;3;6m;133.033066
I Will Praise Thee Lord;Soom T;Classical, Vocal, Chorus, Chill, Intro;2;2d;60.746723
Oh Holy Father;Soom T;Classical, Vocal, Chorus, Chill;2;10m;119.999947
Victory;Soom T;Classical, Vocal, Chorus, Chill;2;5m;96.760239
Fine White Linen;Soom T;Classical, Vocal, Chorus, Chill;2;8d;99.999374
Amen;Soom T;Classical, Vocal, Chorus, Chill;2;6m;73.500504
He Who Shall Endure;Soom T;Classical, Vocal, Chorus, Chill;2;2d;68.999596
Leader of Angels;Soom T;Classical, Vocal, Chorus, Chill;2;8m;81.000412
Though None Go With Me;Soom T;Classical, Vocal, Chorus, Chill;2;2d;100.038017
Redemption;Soom T;Classical, Vocal, Chorus, Chill;2;4m;94.994156
