0;1;2;3;4;5;6;7;8
Dub;Vocal;OS;Steppa;;;;;
Dub;Instru;OS;Steppa;;;;;
Dub;Vocal;Steppa;Digital;;;;;
Dub;Instru;Digital;Electrodub;Heavy;;;;
Dub;Instru;Digital;Steppa;Dark;;;;
Dub;Instru;Digital;Steppa;Dark;Heavy;;;
Dub;Steppa;Digital;Vocal;Sample;Heavy;;;
Dub;Instru;Digital;Dubstep;;;;;
Dub;Vocal;Digital;Electrodub;Dubstep;;;;
Dub;Instru;Digital;Electrodub;;;;;
Dub;Instru;Steppa;Digital;Heavy;;;;
Dub;Digital;Trap;Vocal;Electrodub;Dubadub;;;
Dub;Vocal;Digital;Steppa;;;;;
Dub;Vocal;Digital;;;;;;
Dub;Vocal;Digital;Electrodub;;;;;
Dub;Vocal;Digital;Steppa;;;;;
Dub;Instru;ElectroDub;Dubstep;Heavy;Sample;;;
Dub;Digital;Vocal;;;;;;
Dub;Instru;Digital;Steppa;Electrodub;;;;
Dub;Vocal;Steppa;;;;;;
Dub;Vocal;Digital;;;;;;
Dub;Vocal;Digital;Steppa;;;;;
Dub;Vocal;Digital;;;;;;
Dub;Vocal;Digital;Steppa;Uptempo;;;;
Dub;Vocal;Digital;ElectroDub;;;;;
Dub;Instru;Digital;;;;;;
Dub;Instru;Digital;Melodic;Steppa;;;;
Dub;Instru;Sample;Digital;Steppa;;;;
Dub;Steppa;Digital;Vocal;Heavy;;;;
Dub;Digital;Steppa;Vocal;;;;;
Dub;Digital;Electrodub;Dark;Instru;Heavy;;;
Dub;Instru;Digitall;Steppa;;;;;
Dub;Vocal;Reggae;Digital;;;;;
Dub;Instru;Digital;Steppa;;;;;
Dub;Vocal;Digital;Electrodub;;;;;
Dub;Vocal;Digital;Steppa;;;;;
Dub;Vocal;Digital;Steppa;;;;;
Dub;Vocal;Digital;Steppa;;;;;
Dub;Vocal;Steppa;;;;;;
Dub;Vocal;Steppa;;;;;;
Dub;Vocal;Digital;Steppa;;;;;
Dub;Vocal;Steppa;;;;;;
Dub;Vocal;Steppa;;;;;;
Dub;Vocal;Digital;Steppa;;;;;
Dub;Vocal;Digital;Steppa;;;;;
Dub;Vocal;Digital;Steppa;;;;;
Dub;Instru;Digital;Steppa;;;;;
Dub;Instru;Steppa;;;;;;
Dub;Instru;Steppa;;;;;;
Dub;Instru;Steppa;;;;;;
Dub;Vocal;Digital;Steppa;;;;;
Dub;Instru;Steppa;;;;;;
Dub;Vocal;Steppa;;;;;;
Dub;Instru;Steppa;;;;;;
Dub;Vocal;Steppa;;;;;;
Dub;Instru;Steppa;Digital;;;;;
Dub;Instru;Digital;;;;;;
Dub;Instru;Digital;;;;;;
Dub;Steppa;Instrun Electrodub;Digital;Prog;;;;
Dub;Dubadub;Vocal;Digital;;;;;
Dub;Vocal;ElectroDub;;;;;;
Dub;Instru;Digital;;;;;;
Dub;Instru;Digital;ElectroDub;;;;;
Dub;Instru;Digital;ElectroDub;;;;;
Dub;Instru;Melodic;;;;;;
Dub;Instru;Digital;Steppa;;;;;
Dub;Vocal;Digital;Steppa;;;;;
Dub;Vocal;Digital;;;;;;
Dub;Vocal;Digital;;;;;;
Dub;Vocal;Digital;ElectroDub;;;;;
Dub;Vocal;Sample;Digital;Melodic;;;;
Dub;Instru;Digital;Didgeridoo;;;;;
Dub;Instru;Steppa;Digital;Heavy;;;;
Dub;Vocal;Sample;FR;;;;;
Dub;OS;Vocal;;;;;;
Dub;Vocal;Digital;Steppa;;;;;
Dub;Steppa;Instru;;;;;;
Dub;Vocal;Digital;Electrodub;;;;;
Dub;Vocal;Digital;Steppa;;;;;
Dub;Vocal;Digital;Steppa;;;;;
Dub;Vocal;Digital;Steppa;Electrodub;;;;
Dub;Instru;ElectroDub;Steppa;;;;;
Dub;Vocal;Digital;Heavy;Dubstep;Electrodub;;;
Dub;Instru;ElectroDub;Steppa;Heavy;;;;
Dub;Vocal;Digital;;;;;;
Dub;Vocal;Digital;Electrodub;Dubadub;;;;
Dub;Vocal;ElectroDub;;;;;;
Dub;Instru;Digital;Prog;;;;;
Dub;Instru;Digital;Steppa;;;;;
Dub;Vocal;Digital;Reggae;;;;;
Dub;Rap;FR;ElectroDub;;;;;
Dub;Vocal;Reggae;OS;;;;;
Dub;Instru;Digital;Melodic;;;;;
Dub;Instru;Digital;Steppa;;;;;
Dub;Vocal;Digital;Steppa;;;;;
Dub;Instru;Digital;Steppa;Heavy;;;;
Dub;Vocal;Digital;Steppa;;;;;
Dub;Instru;Digital;;;;;;
Dub;Vocal;Sample;FR;Digital;;;;
Dub;Chill;Instru;Digital;Melodic;;;;
Dub;Instru;Digital;Melodic;Didgeridoo;;;;
Dub;Vocal;Dubadub;Digital;;;;;
Dub;Vocal;Sample;Digital;Melodic;;;;
Dub;Vocal;Digital;;;;;;
Dub;Vocal;Digital;Downtempo;;;;;
Dub;Vocal;Digital;Dubadub;Heavy;;;;
Dub;Vocal;Digital;ElectroDub;Steppa;;;;
